Id,DemoFileId,PlayerSlot,UserId,SteamId,PlayerName,Team,IsBot,IsHltv,IsConnected,Rank,Wins,ClanTag,ConnectedAt,DisconnectedAt,DisconnectReason,PingAverage,PingMax,PingMin,PacketLoss
2,1,4,4,76561198254345267,YESM0N,CounterTerrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806524",,,0,0,0,0.0
3,1,5,5,76561198260005796,-faeryuta,CounterTerrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806525",,,0,0,0,0.0
4,1,6,6,76561198138405034,Magnifiqu3,Terrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806525",,,0,0,0,0.0
5,1,7,7,76561198984408590,Jy_A,CounterTerrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806531",,,0,0,0,0.0
6,1,8,8,76561198839566024,LilWangk,CounterTerrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806532",,,0,0,0,0.0
7,1,9,9,76561199207710250,--uncle-,Terrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806532",,,0,0,0,0.0
8,1,10,10,76561198212253320,nesnah4,Terrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806532",,,0,0,0,0.0
9,1,11,11,76561198962428256,Crackoon,Terrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806533",,,0,0,0,0.0
10,1,12,12,76561199001285882,Hastur,Terrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806533",,,0,0,0,0.0
11,1,13,13,76561198268048992,AFHFG,CounterTerrorist,0,0,1,0,0,,"2025-06-17 22:18:59.806533",,,0,0,0,0.0
14,2,3,3,76561198254345267,YESM0N,3,0,0,1,0,0,,"2025-06-17 22:51:23.955413",,,0,0,0,0.0
15,2,4,4,76561198260005796,-faeryuta,3,0,0,1,0,0,,"2025-06-17 22:51:23.95542",,,0,0,0,0.0
16,2,5,5,76561198138405034,Magnifiqu3,2,0,0,1,0,0,,"2025-06-17 22:51:23.954659",,,0,0,0,0.0
17,2,6,6,76561198984408590,Jy_A,3,0,0,1,0,0,,"2025-06-17 22:51:23.955441",,,0,0,0,0.0
18,2,7,7,76561198839566024,LilWangk,3,0,0,1,0,0,,"2025-06-17 22:51:23.95543",,,0,0,0,0.0
19,2,8,8,76561199207710250,--uncle-,2,0,0,1,0,0,,"2025-06-17 22:51:23.955451",,,0,0,0,0.0
20,2,9,9,76561198212253320,nesnah4,2,0,0,1,0,0,,"2025-06-17 22:51:23.955407",,,0,0,0,0.0
21,2,10,10,76561198962428256,Crackoon,2,0,0,1,0,0,,"2025-06-17 22:51:23.955435",,,0,0,0,0.0
22,2,11,11,76561199001285882,Hastur,2,0,0,1,0,0,,"2025-06-17 22:51:23.955446",,,0,0,0,0.0
23,2,12,12,76561198268048992,AFHFG,3,0,0,1,0,0,,"2025-06-17 22:51:23.955426",,,0,0,0,0.0
